bounty_id,level,rank,firstName,lastName,captainPersonality,fleetName,flagshipName,gender,faction,portrait,greetingText,suppressIntel,postedByFaction,creditReward,repReward,intelText,flagshipVariantId,fleetVariantIds,minimumFleetFP,playerFPScalingFactor,chanceToAutoRecover,specialItemRewards,neverSpawnUnlessBountiesCompleted,neverSpawnWhenFactionHostile,neverSpawnWhenFactionNonHostile,neverSpawnBeforeCycle,neverSpawnBeforeLevel,neverSpawnBeforeFleetPoints
junk_pirates_tangerine_bounty_m,20,spaceCaptain,Pulchritude,Circumstance,aggressive,The Unusual Circumstances 2nd XI,Sally,MALE,pirates,graphics/portraits/junk_pirates_tangoface_m.png,"Ha ha ha! Welcome friend! I assume you are not here to dance? If you die, if I die? It matters not because I have seen … but just a glimpse of all time, in the same time! And it is beautiful! I am, we are complete!",FALSE,junk_pirates,80000,8,"After the Tangerine development programme was abandoned for doing various unspeakable things to both people and local relativity, the charismatic siblings Pulchritude and Wayward Circumstance both made a break for it - each with a highly experimental version of this, itself a highly experimental ship.

These are good folk, but the simple matter is that even for us, we went too far. Please go and pay Pulchritude a visit and … deal with him, he may even be happy to see you.",junk_pirates_tangerine_blue_Assault,"junk_pirates_octopus_Standard, junk_pirates_sickle_Strike, junk_pirates_satsuma_Frightener, junk_pirates_mandarine_Standard, junk_pirates_tangerine_Standard, junk_pirates_clementine_Standoff, junk_pirates_langoustine_Standard, junk_pirates_langoustine_Strike",80,1.1,1,,,FALSE,FALSE,206,1,1
junk_pirates_tangerine_bounty_f,20,spaceCaptain,Wayward,Circumstance,aggressive,The Unusual Circumstances,Blue Bertha,FEMALE,pirates,graphics/portraits/junk_pirates_tangoface_f.png,"Hello. Have you seen my brother anywhere? I keep meaning to remind him about Mother’s birthday, he always seems to forget.",FALSE,junk_pirates,120000,12,"After the Tangerine development programme was abandoned for doing various unspeakable things to both people and local relativity, the charismatic siblings Pulchritude and Wayward Circumstance both made a break for it - each with a highly experimental version of this, itself a highly experimental ship.

She is at heart a good person, with strong values. The ship has pushed that aside though, from what we can see. We’ve located Wayward and would ask that you deal with her and … that ship.",junk_pirates_tangerine_blue_CS,"junk_pirates_orca_Standard, junk_pirates_sickle_Standard, junk_pirates_satsuma_Frightener, junk_pirates_mandarine_Standard, junk_pirates_tangerine_Standard, junk_pirates_tangerine_Standard, junk_pirates_clementine_Wingclipper, junk_pirates_langoustine_Standard, junk_pirates_langoustine_Strike, junk_pirates_orcenstein_Elite, junk_pirates_satsuma_Standard, junk_pirates_tangerine_Standard",120,1.2,1,,junk_pirates_tangerine_bounty_m,FALSE,FALSE,206,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# bounty_id : line ID. Must be unique across all mods. I recommend a prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# level : character level of bounty captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# rank : must match a rank ID in Ranks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# firstName : bounty captain's first name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# lastName : bounty captain's last name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# captainPersonality : must match a value from Personalities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
